ID,Name,Type,Description,OID,Properties,Sensors,Visible,Enabled
1,P1130,PLANT,P1130 Collection,1,"{'alarm_check_timerange': '10:00 - 14:00', 'alarm_irradiance_threshold': '100', 'avoid_night_oos': '0', 'capacity': '4103.2', 'contractual_irr_link': '', 'delivery_period': '30', 'energy_alerts': '0', 'field_alarm_ttl': '10', 'field_data_ttl': '10', 'irr_link.0': '171', 'sunrise_o': '0', 'sunset_o': '0', 'sys_loss': '0.05', 'temp_link.0': '173', 'up_inverter_thld': '0.9', 'up_irr_thld': '600', 'up_irrsd_thld': '0.05', 'up_jbox_thld': '0.9', 'user_irr_link': '', 'user_temp_link': ''}","['J44', 'J30', 'J101', 'J7', 'J34', 'J33', 'J31', 'J1', 'J104', 'J4', 'J102']",True,True
17,Cabina 01,AGGREGATE,,1.1,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'capacity': '1370.8', 'context': '', 'irr_link.0': '171', 'minor_aggr': '0', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['A17#1', 'A17#4', 'A17#8', 'A17#31', 'A17#44', 'A17#75', 'A17#102', 'A17#104']",True,True
19,Inverter 01 Cab 01,AGGREGATE,Socomec Sunsys PRO P03,1.1.1,"{'aggr_stop': '0', 'alarm_irradiance_filter': '0', 'capacity': '105.8', 'context': '', 'irr_link.0': '171', 'minor_aggr': '0', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['A19#1', 'A19#4', 'A19#8', 'A19#31', 'A19#44', 'A19#75', 'A19#102', 'A19#104']",True,True
20,Inverter 01 Cab 01,INVERTER,,1.1.1.1,"{'aggr_stop': '0', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '105.8', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '1', 'inverter_off_irradiance_threshold': '150', 'inverter_off_power_threshold': '0.15', 'irr_link.0': '171', 'model': 'Sunsys PRO P03', 'module_noct': '45', 'module_power_ct': '0.44', 'producer': 'Socomec', 'read_timerange': '', 'sun_filter': '1', 'sunrise_o': '1800', 'sunset_o': '1800', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': '', 'yield': '0.973'}","['D.9.PERC', 'D.9.ENERGY', '9', 'D.19.DELTA', '19', 'V166', '82', 'D.19.EH', 'V165', '22', '20', '21', '10', '83', '84', '85', 'A20#1', 'A20#4', 'A20#8', 'A20#31', 'A20#44', 'A20#75', 'A20#102', 'A20#104']",True,True
26,Stadio 1.1 Cab 01,GENERIC,,1.1.1.2,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '35.27', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '1', 'irr_link.0': '171', 'model': 'Sunsys PRO P03', 'producer': 'Socomec', 'read_timerange': '', 'sun_filter': '1', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['D.86.PERC', 'D.86.ENERGY', '86', '87', '88', '89', 'V167', '90', '91', '92', '93', '94', 'A26#1', 'A26#8', 'A26#31', 'A26#44']",True,True
27,Stadio 1.2 Cab 01,GENERIC,,1.1.1.3,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '35.27', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '1', 'irr_link.0': '171', 'model': 'Sunsys PRO P03', 'producer': 'Socomec', 'read_timerange': '', 'sun_filter': '1', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['D.95.PERC', 'D.95.ENERGY', '95', '96', '97', '98', 'V168', '99', '100', '101', '102', '103', 'A27#1', 'A27#8', 'A27#31', 'A27#44']",True,True
28,Stadio 1.3 Cab 01,GENERIC,,1.1.1.4,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '35.27', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '1', 'irr_link.0': '171', 'model': 'Sunsys PRO P03', 'producer': 'Socomec', 'read_timerange': '', 'sun_filter': '1', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['D.104.PERC', 'D.104.ENERGY', '104', '105', '106', '107', 'V169', '108', '109', '110', '111', '112', 'A28#1', 'A28#8', 'A28#31', 'A28#44']",True,True
29,JBox 1.1,JBOX,,1.1.1.5,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '50.6', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '1', 'irr_link.0': '171', 'jbox_underperformance_irradiance_threshold': '250', 'jbox_underperformance_threshold': '80', 'model': 'Sunsys IFB', 'producer': 'Socomec', 'read_timerange': '', 'string_open_current_threshold': '0.3', 'string_open_irradiance_threshold': '250', 'sun_filter': '1', 'sunrise_o': '10800', 'sunset_o': '10800', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['115', '118', '119', '123', '120', '140', '131', '130', '129', '128', '127', 'V117', 'V116', '113', 'D.V117.EH', 'V163', 'A29#9', 'A29#23', 'A29#32', 'A29#45', 'A29#102', 'A29#109']",True,True
30,JBox 1.2,JBOX,,1.1.1.6,"{'aggr_stop': '1', 'alarm_irradiance_filter': '0', 'cache': '0', 'capacity': '55.2', 'com_fail_alarm': '99', 'com_fail_debounce': '900', 'device_timeout': '500', 'hw_address': '2', 'irr_link.0': '171', 'jbox_underperformance_irradiance_threshold': '250', 'jbox_underperformance_threshold': '80', 'model': 'Sunsys IFB', 'producer': 'Socomec', 'read_timerange': '', 'string_open_current_threshold': '0.3', 'string_open_irradiance_threshold': '250', 'sun_filter': '1', 'sunrise_o': '10800', 'sunset_o': '10800', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['142', '145', '146', '148', '147', '155', '154', '153', '152', '151', '150', '149', 'D.V144.INTEGRAL', 'V144', 'V143', '141', 'D.V144.EH', 'V164', 'A30#9', 'A30#23', 'A30#32', 'A30#45', 'A30#80', 'A30#102', 'A30#109']",True,True
97,Inverter 10 Cab 01,AGGREGATE,Socomec Sunsys PRO P03,1.1.10,"{'aggr_stop': '0', 'alarm_irradiance_filter': '0', 'capacity': '105.8', 'context': '', 'irr_link.0': '171', 'minor_aggr': '0', 'temp_link.0': '173', 'user_irr_link': '', 'user_temp_link': ''}","['A97#1', 'A97#4', 'A97#8', 'A97#31', 'A97#44', 'A97#75', 'A97#102', 'A97#104']",True,True
