ID,Name,Type,Description,OID,Properties,Source,Visible,Enabled
1,Voltage L1,VOLTAGE,,1.1.14:1,"{'alarm_c': '5', 'alarm_debounce': '60', 'alarm_function': '', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '60', 'alarm_tdo': '60', 'alarm_type': '', 'cast': 'U32', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'register': '3c552', 'sampling_period': '300'}",sundra,True,True
10,Temperature,TEMPERATURE,,1.1.1.1:10,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'copy_to': '', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31064', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
100,Module Board Temperature,TEMPERATURE,,1.1.1.3:100,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '3307C', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1000,Energy AC,AC_ACTIVE_ENERGY,,1.1.13.1:1000,"{'c_high_pass': '', 'c_low_pass': '', 'cast': 'U32', 'counter_link': '', 'data_age_lmt': '0', 'eh_link': 'D.1000.EH', 'endian': 'BE', 'energy_alerts': '1', 'energy_heuristic': '0', 'energy_link': 'D.1000.DELTA', 'is_raw': '1', 'mask': '', 'mask_value': '1', 'register': '31095', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1002,Grid Frequency,GRID_FREQUENCY,,1.1.13.1:1002,"{'alarm_function': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '\t31050', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1003,System - Alarms,STATUS,,1.1.13.1:1003,"{'alarm_c': '3', 'alarm_debounce': '60', 'alarm_function': 'STATUSMAP', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '360', 'alarm_tdo': '360', 'alarm_type': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U64', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31040', 'sampling_period': '-1', 'shift': '', 'status_map': '7', 'sun_filter': '1'}",sundra,True,True
1004,System - States,STATUS,,1.1.13.1:1004,"{'alarm_c': '3', 'alarm_debounce': '60', 'alarm_function': 'STATUSMAP', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '360', 'alarm_tdo': '360', 'alarm_type': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U64', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31020', 'sampling_period': '-1', 'shift': '', 'status_map': '5', 'sun_filter': '1'}",sundra,True,True
1005,System - Warnings,STATUS,,1.1.13.1:1005,"{'alarm_c': '3', 'alarm_debounce': '60', 'alarm_function': 'STATUSMAP', 'alarm_max_threshold': '0', 'alarm_min_threshold': '0', 'alarm_tdc': '360', 'alarm_tdo': '360', 'alarm_type': '', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U64', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31030', 'sampling_period': '-1', 'shift': '', 'status_map': '6', 'sun_filter': '1'}",sundra,True,True
1006,Temperature,TEMPERATURE,,1.1.13.1:1006,"{'alarm_c': '3', 'alarm_debounce': '300', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '70', 'alarm_min_threshold': '-10', 'alarm_tdc': '300', 'alarm_tdo': '300', 'alarm_type': '52', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31064', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
1007,Voltage L1,GRID_VOLTAGE,,1.1.13.1:1007,"{'alarm_c': '3', 'alarm_debounce': '900', 'alarm_function': 'LIMITALARM', 'alarm_max_threshold': '2000', 'alarm_min_threshold': '100', 'alarm_tdc': '900', 'alarm_tdo': '900', 'alarm_type': '357', 'c_high_pass': '', 'c_low_pass': '', 'cast': 'U16', 'data_age_lmt': '0', 'endian': 'BE', 'is_raw': '1', 'limit_max': '', 'limit_min': '', 'mask': '', 'mask_value': '1', 'register': '31051', 'sampling_period': '300', 'shift': '', 'sun_filter': '1'}",sundra,True,True
