id,name
100,Module Board Temperature
1000,Energy AC
1011,Active Power AC
1017,Module Board Temperature
1021,Active Power AC
1027,Module Board Temperature
1031,Active Power AC
1037,Module Board Temperature
104,Active Power AC
1041,DC Current 01
1042,DC Current 02
1043,DC Current 03
1044,DC Current 04
1045,DC Current 05
1046,DC Current 06
1047,DC Current 07
1048,DC Current 08
1049,DC Current 09
1050,DC Current 10
1051,DC Current 11
1056,DC Current 01
1057,DC Current 02
1058,DC Current 03
1059,DC Current 04
1060,DC Current 05
1061,DC Current 06
1062,DC Current 07
1063,DC Current 08
1064,DC Current 09
1065,DC Current 10
1066,DC Current 11
1071,DC Current 12
1073,Active Power
1074,Energy AC
1085,Active Power AC
109,Module Board Temperature
1091,Module Board Temperature
1095,Active Power AC
1101,Module Board Temperature
1105,Active Power AC
1111,Module Board Temperature
1115,DC Current 01
1116,DC Current 02
1117,DC Current 03
1118,DC Current 04
1119,DC Current 05
1120,DC Current 06
1121,DC Current 07
1122,DC Current 08
1123,DC Current 09
1124,DC Current 10
1125,DC Current 11
1130,DC Current 01
1131,DC Current 02
1132,DC Current 03
1133,DC Current 04
1134,DC Current 05
1135,DC Current 06
1136,DC Current 07
1137,DC Current 08
1138,DC Current 09
1139,DC Current 10
1140,DC Current 11
1141,DC Current 12
1146,Active Power
1147,Energy AC
115,DC Current 01
1158,Active Power AC
1164,Module Board Temperature
1168,Active Power AC
1174,Module Board Temperature
1178,Active Power AC
118,DC Current 02
1184,Module Board Temperature
1188,DC Current 01
1189,DC Current 02
119,DC Current 03
1190,DC Current 03
1191,DC Current 04
1192,DC Current 05
1193,DC Current 06
1194,DC Current 07
1195,DC Current 08
1196,DC Current 09
1197,DC Current 10
1198,DC Current 11
120,DC Current 05
1203,DC Current 01
1204,DC Current 02
1205,DC Current 03
1206,DC Current 04
1207,DC Current 05
1208,DC Current 06
1209,DC Current 07
1210,DC Current 08
1211,DC Current 09
1212,DC Current 10
1213,DC Current 11
1214,DC Current 12
1219,Active Power
1220,Energy AC
123,DC Current 04
1231,Active Power AC
1237,Module Board Temperature
1241,Active Power AC
1247,Module Board Temperature
1251,Active Power AC
1257,Module Board Temperature
1261,DC Current 01
1262,DC Current 02
1263,DC Current 03
1264,DC Current 04
1265,DC Current 05
1266,DC Current 06
1267,DC Current 07
1268,DC Current 08
1269,DC Current 09
127,DC Current 11
1270,DC Current 10
1271,DC Current 11
