time,snowfraction,windspeed,temperature,precipitation_probability,convective_precipitation,rainspot,pictocode,felttemperature,precipitation,isdaylight,uvindex,relativehumidity,sealevelpressure,winddirection
2025-06-16 00:00,0.0,1.81,15.9,0,0.0,0000000000000000000000000000000000000000000000000,1,14.85,0.0,0,0,71,1016.87,319
2025-06-16 01:00,0.0,1.78,14.44,0,0.0,0000000000000000000000000000000000000000000000000,13,13.53,0.0,0,0,80,1016.69,322
2025-06-16 02:00,0.0,1.6,13.28,0,0.0,0000000000000000000000000000000000000000000000000,13,12.6,0.0,1,0,88,1016.52,313
2025-06-16 03:00,0.0,1.49,12.4,0,0.0,0000000000000000000000000000000000000000000000000,13,11.94,0.0,1,0,96,1016.34,308
2025-06-16 04:00,0.0,1.26,14.63,0,0.0,0000000000000000000000000000000000000000000000000,13,14.49,0.0,1,0,86,1016.42,315
2025-06-16 05:00,0.0,2.05,17.87,0,0.0,0000000000000000000000000000000000000000000000000,4,17.33,0.0,1,0,72,1016.5,336
2025-06-16 06:00,0.0,2.98,21.47,0,0.0,0000000000000000000000000000000000000000000000000,1,20.18,0.0,1,1,56,1016.58,352
2025-06-16 07:00,0.0,3.9,24.0,0,0.0,0000000000000000000000000000000000000000000000000,1,22.33,0.0,1,2,46,1016.35,359
2025-06-16 08:00,0.0,3.82,25.23,0,0.0,0000000000000000000000000000000000000000000000000,1,24.11,0.0,1,4,41,1016.11,357
2025-06-16 09:00,0.0,3.7,26.13,0,0.0,0000000000000000000000000000000000000000000000000,1,25.64,0.0,1,6,39,1015.88,349
2025-06-16 10:00,0.0,3.97,26.73,0,0.0,0000000000000000000000000000000000000000000000000,1,26.28,0.0,1,7,38,1015.57,340
2025-06-16 11:00,0.0,4.04,27.5,0,0.0,0000000000000000000000000000000000000000000000000,1,26.94,0.0,1,7,35,1015.25,335
2025-06-16 12:00,0.0,3.95,28.03,0,0.0,0000000000000000000000000000000000000000000000000,1,27.1,0.0,1,7,33,1014.94,329
2025-06-16 13:00,0.0,3.44,28.7,0,0.0,0000000000000000000000000000000000000000000000000,1,27.45,0.0,1,6,30,1014.59,323
2025-06-16 14:00,0.0,3.14,28.8,0,0.0,0000000000000000000000000000000000000000000000000,1,27.29,0.0,1,4,32,1014.25,311
2025-06-16 15:00,0.0,3.06,28.83,0,0.0,0000000000000000000000000000000000000000000000000,4,27.26,0.0,1,3,35,1013.9,299
2025-06-16 16:00,0.0,2.92,28.23,0,0.0,0000000000000000000000000000000000000000000000000,1,27.12,0.0,1,1,38,1013.97,288
2025-06-16 17:00,0.0,1.61,27.23,0,0.0,0000000000000000000000000000000000000000000000000,1,27.29,0.0,1,0,43,1014.05,271
2025-06-16 18:00,0.0,1.35,25.37,0,0.0,0000000000000000000000000000000000000000000000000,1,25.73,0.0,1,0,49,1014.12,246
2025-06-16 19:00,0.0,1.45,23.4,0,0.0,0000000000000000000000000000000000000000000000000,1,23.73,0.0,0,0,56,1014.42,233
2025-06-16 20:00,0.0,1.48,21.83,0,0.0,0000000000000000000000000000000000000000000000000,1,22.0,0.0,0,0,60,1014.72,243
2025-06-16 21:00,0.0,1.34,20.7,0,0.0,0000000000000000000000000000000000000000000000000,1,20.79,0.0,0,0,62,1015.02,259
2025-06-16 22:00,0.0,1.4,19.5,0,0.0,0000000000000000000000000000000000000000000000000,1,19.55,0.0,0,0,67,1015.21,272
2025-06-16 23:00,0.0,1.61,18.27,0,0.0,0000000000000000000000000000000000000000000000000,1,18.2,0.0,0,0,72,1015.39,287
2025-06-17 00:00,0.0,1.87,16.7,0,0.0,0000000000000000000000000000000000000000000000000,4,16.55,0.0,0,0,81,1015.58,321
2025-06-17 01:00,0.0,1.12,15.87,0,0.0,0000000000000000000000000000000000000000000000000,13,16.28,0.0,0,0,87,1015.7,355
2025-06-17 02:00,0.0,1.41,14.87,0,0.0,0000000000000000000000000000000000000000000000000,14,15.0,0.0,1,0,91,1015.81,352
2025-06-17 03:00,0.0,1.44,15.37,0,0.0,0000000000000000000000000000000000000000000000000,14,15.48,0.0,1,0,88,1015.93,353
2025-06-17 04:00,0.0,1.49,16.53,0,0.0,0000000000000000000000000000000000000000000000000,14,16.65,0.0,1,0,82,1016.18,359
2025-06-17 05:00,0.0,2.34,19.6,0,0.0,0000000000000000000000000000000000000000000000000,1,19.27,0.0,1,0,70,1016.43,0
2025-06-17 06:00,0.0,2.62,22.8,0,0.0,0000000000000000000000000000000000000000000000000,1,22.08,0.0,1,1,55,1016.68,2
2025-06-17 07:00,0.0,3.98,25.73,0,0.0,0000000000000000000000000000000000000000000000000,1,24.33,0.0,1,3,45,1016.68,6
2025-06-17 08:00,0.0,4.28,27.43,0,0.0,0000000000000000000000000000000000000000000000000,1,26.35,0.0,1,4,39,1016.68,7
2025-06-17 09:00,0.0,4.2,28.53,0,0.0,0000000000000000000000000000000000000000000000000,4,28.14,0.0,1,6,38,1016.68,5
2025-06-17 10:00,0.0,3.97,29.03,0,0.0,0000000000000000000000000000000000000000000000000,4,29.05,0.0,1,8,36,1016.56,3
2025-06-17 11:00,0.0,4.13,29.53,0,0.0,0000000000000000000000000000000000000000000000000,1,29.4,0.0,1,8,35,1016.43,358
2025-06-17 12:00,0.0,4.09,29.93,0,0.0,0000000000000000000000000000000000000000000000000,1,29.53,0.0,1,8,34,1016.31,357
2025-06-17 13:00,0.0,4.3,30.37,0,0.0,0000000000000000000000000000000000000000000000000,4,29.39,0.0,1,6,34,1015.98,355
2025-06-17 14:00,0.0,3.71,30.67,0,0.0,0000000000000000000000000000000000000000000000000,1,29.67,0.0,1,4,34,1015.66,356
2025-06-17 15:00,0.0,3.28,30.6,0,0.0,0000000000000000000000000000000000000000000000000,1,29.4,0.0,1,3,35,1015.33,353
2025-06-17 16:00,0.0,2.98,29.9,0,0.0,0000000000000000000000000000000000000000000000000,1,29.26,0.0,1,1,38,1015.7,353
2025-06-17 17:00,0.0,2.46,28.03,0,0.0,0000000000000000000000000000000000000000000000000,1,28.15,0.0,1,0,46,1016.07,0
2025-06-17 18:00,0.0,2.0,25.63,7,0.0,0000000000000000000000000000000000000000000000000,4,26.49,0.0,1,0,57,1016.44,2
2025-06-17 19:00,0.0,2.46,23.33,7,0.0,0000000000000000000000000000000000000000000000000,8,24.09,0.0,0,0,67,1017.11,9
2025-06-17 20:00,0.0,3.94,22.0,7,0.0,0000000000000000000000000000000000000000000000000,12,21.69,0.0,0,0,73,1017.79,18
2025-06-17 21:00,0.0,4.23,21.23,7,0.0,0000000000000000000000000000000000000000000000000,6,20.97,0.0,0,0,79,1018.46,20
2025-06-17 22:00,0.0,4.13,20.77,7,0.0,0000000000000000000000000000000000000000009000000,12,20.62,0.0,0,0,82,1018.83,21
2025-06-17 23:00,0.0,4.28,20.34,7,0.0,0000000000000000000000000000000000099000001119999,6,19.99,0.0,0,0,83,1019.21,20
2025-06-18 00:00,0.0,3.36,19.77,7,0.0,0000000000000000000000000000000000009999990999119,9,19.89,0.0,0,0,83,1019.58,19
2025-06-18 01:00,0.0,2.82,19.03,0,0.0,0000000000000000000000000000000000000000000000000,6,19.29,0.0,0,0,84,1019.64,17
2025-06-18 02:00,0.0,2.66,18.13,0,0.0,0000000000000000000000000000000000000000000000000,20,18.28,0.0,1,0,86,1019.69,16
2025-06-18 03:00,0.0,2.79,17.83,0,0.0,0000000000000000000000000000000000000000000000000,7,17.77,0.0,1,0,86,1019.75,16
2025-06-18 04:00,0.0,2.66,18.57,0,0.0,0000000000000000000000000000000000000000000000000,7,18.54,0.0,1,0,81,1020.1,13
2025-06-18 05:00,0.0,3.28,20.07,0,0.0,0000000000000000000000000000000000000000000000000,4,19.47,0.0,1,0,72,1020.44,17
2025-06-18 06:00,0.0,3.61,21.67,0,0.0,0000000000000000000000000000000000000000000000000,7,20.73,0.0,1,1,65,1020.79,24
2025-06-18 07:00,0.0,3.21,22.87,0,0.0,0000000000000000000000000000000000000000000000000,4,21.99,0.0,1,2,58,1020.66,26
2025-06-18 08:00,0.0,2.94,23.9,0,0.0,0000000000000000000000000000000000000000000000000,7,23.12,0.0,1,4,51,1020.53,26
2025-06-18 09:00,0.0,2.23,24.9,0,0.0,0000000000000000000000000000000000000000000000000,1,25.39,0.0,1,6,46,1020.4,19
