air_temp,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,precipitation_rate,relative_humidity,period_end,period
19,0,0,0,0,30.2,0,0,0,0,0,82.9,2024-06-01T00:15:00+00:00,PT15M
19,0,0,0,0,33.8,0,0,0,0,0,83.3,2024-06-01T00:30:00+00:00,PT15M
18,0,0,0,0,53.4,0,0,0,0,0,83.7,2024-06-01T00:45:00+00:00,PT15M
18,0,0,0,0,75.1,0,0,0,0,0,84.1,2024-06-01T01:00:00+00:00,PT15M
18,0,0,0,0,17.7,0,0,0,0,0,84.3,2024-06-01T01:15:00+00:00,PT15M
18,0,0,0,0,0,0,0,0,0,0,84.4,2024-06-01T01:30:00+00:00,PT15M
18,0,0,0,0,7.2,0,0,0,0,0,84.6,2024-06-01T01:45:00+00:00,PT15M
18,0,0,0,0,18.9,0,0,0,0,0,84.7,2024-06-01T02:00:00+00:00,PT15M
18,0,0,0,0,17.4,0,0,0,0,0,84.7,2024-06-01T02:15:00+00:00,PT15M
18,0,0,0,0,33.8,0,0,0,0,0,84.7,2024-06-01T02:30:00+00:00,PT15M
17,4,2,4,3,33.2,2,0,2,2,0,84.7,2024-06-01T02:45:00+00:00,PT15M
17,18,36,21,16,25.1,16,0,16,15,0,84.7,2024-06-01T03:00:00+00:00,PT15M
17,32,123,44,28,16.4,36,1,36,35,0,84.2,2024-06-01T03:15:00+00:00,PT15M
18,45,200,72,37,50.4,35,0,35,34,0,83.3,2024-06-01T03:30:00+00:00,PT15M
18,58,271,106,54,41.5,63,0,63,60,0,82.4,2024-06-01T03:45:00+00:00,PT15M
18,69,336,143,85,28.4,100,10,103,98,0,81.5,2024-06-01T04:00:00+00:00,PT15M
18,79,395,184,122,47.8,95,0,95,92,0,79.7,2024-06-01T04:15:00+00:00,PT15M
19,89,447,226,165,52.8,106,0,106,103,0,77.2,2024-06-01T04:30:00+00:00,PT15M
20,97,493,270,211,43.6,152,0,152,147,0,74.7,2024-06-01T04:45:00+00:00,PT15M
20,105,535,314,259,42.2,182,0,182,176,0,72.3,2024-06-01T05:00:00+00:00,PT15M
21,111,571,359,310,0,111,571,359,310,0,70.5,2024-06-01T05:15:00+00:00,PT15M
21,117,603,404,361,0,117,603,404,361,0,69.3,2024-06-01T05:30:00+00:00,PT15M
22,123,630,448,413,0,123,630,448,413,0,68.1,2024-06-01T05:45:00+00:00,PT15M
22,129,652,490,464,0,129,652,490,464,0,66.9,2024-06-01T06:00:00+00:00,PT15M
23,134,671,532,515,0,134,671,532,515,0,65.6,2024-06-01T06:15:00+00:00,PT15M
23,139,688,572,564,0,139,688,572,564,0,64.4,2024-06-01T06:30:00+00:00,PT15M
24,143,705,611,612,0,143,705,611,612,0,63.2,2024-06-01T06:45:00+00:00,PT15M
24,146,722,649,659,0,146,722,649,659,0,62,2024-06-01T07:00:00+00:00,PT15M
25,148,736,685,703,0,148,736,685,703,0,60.2,2024-06-01T07:15:00+00:00,PT15M
25,150,749,718,745,0,150,749,718,745,0,57.9,2024-06-01T07:30:00+00:00,PT15M
26,152,761,750,784,0,152,761,750,784,0,55.7,2024-06-01T07:45:00+00:00,PT15M
27,153,771,778,820,0,153,771,778,820,0,53.6,2024-06-01T08:00:00+00:00,PT15M
27,154,780,804,853,0,154,780,804,853,0,51.8,2024-06-01T08:15:00+00:00,PT15M
27,155,788,828,882,0,155,788,828,882,0,50.3,2024-06-01T08:30:00+00:00,PT15M
28,151,801,849,910,0,151,801,849,910,0,48.8,2024-06-01T08:45:00+00:00,PT15M
28,143,819,869,935,0,143,819,869,935,0,47.4,2024-06-01T09:00:00+00:00,PT15M
29,135,836,887,957,0,135,836,887,957,0,46.1,2024-06-01T09:15:00+00:00,PT15M
29,125,854,902,976,0,125,854,902,976,0,45,2024-06-01T09:30:00+00:00,PT15M
29,120,864,912,989,0,120,864,912,989,0,44,2024-06-01T09:45:00+00:00,PT15M
29,121,866,918,996,0,121,866,918,996,0,43,2024-06-01T10:00:00+00:00,PT15M
30,121,867,920,999,1.6,145,825,906,981,0,41.8,2024-06-01T10:15:00+00:00,PT15M
30,121,867,919,997,0,121,867,919,997,0,40.5,2024-06-01T10:30:00+00:00,PT15M
30,121,867,915,992,0,121,867,915,992,0,39.3,2024-06-01T10:45:00+00:00,PT15M
30,120,866,907,982,0,120,866,907,982,0,38.1,2024-06-01T11:00:00+00:00,PT15M
31,120,863,896,968,4.5,185,746,856,919,0,37.2,2024-06-01T11:15:00+00:00,PT15M
31,119,860,882,950,10.2,258,602,792,842,0,36.5,2024-06-01T11:30:00+00:00,PT15M
31,118,857,865,928,0,118,857,865,928,0,35.8,2024-06-01T11:45:00+00:00,PT15M
31,117,852,845,902,0,117,852,845,902,0,35.1,2024-06-01T12:00:00+00:00,PT15M
31,116,846,822,873,0,116,846,822,873,0,34.4,2024-06-01T12:15:00+00:00,PT15M
