,172,D.156.DELTA,D.171.ISIRR,SARAH DNI - backwards,SARAH Diffuse Shortwave Radiation,SARAH Diffuse Shortwave Radiation@,SARAH Direct Shortwave Radiation,SARAH Direct Shortwave Radiation@,SARAH Global tilted radiation GTI,SARAH Photosynthetic active radiation,SARAH Photosynthetic photon flux density,SARAH Shortwave Radiation,NEMS4 Sunshine Duration,NEMS4 Cloud Cover Total,SARAH Clearsky Shortwave
2022-03-18 07:00:00,3.226,440.0,675.62,,,0.0,,0.0,,,,,53.939396,10.0,
2022-03-18 08:00:00,4.607,3344.0,836.143,763.0,142.0,358.4164,437.0,266.91025,818.3952,277.91998,1270.0944,579.0,53.939396,10.0,579.0
2022-03-18 09:00:00,5.69,3572.0,939.744,795.0,151.0,345.48233,507.0,362.23257,937.14185,315.84,1443.3888,658.0,0.0,100.0,658.0
2022-03-18 10:00:00,6.827,3452.0,972.46,817.0,156.0,319.09464,561.0,417.26657,1025.3832,344.16,1572.8113,717.0,0.0,100.0,717.0
2022-03-18 11:00:00,7.632,3040.0,792.876,818.0,157.0,279.25143,561.0,427.8242,1027.3708,344.63998,1575.0048,718.0,19.999998,66.0,718.0
2022-03-18 12:00:00,7.811,2232.0,594.932,602.0,216.0,184.3537,388.0,384.14148,830.81683,289.91998,1324.9343,604.0,25.454548,57.0,660.0
2022-03-18 13:00:00,7.346,1480.0,426.254,461.0,224.0,117.632866,251.0,304.03952,633.31396,228.0,1041.9601,475.0,0.0,100.0,549.0
2022-03-18 14:00:00,6.457,836.0,223.692,491.0,152.0,61.42701,208.0,229.19995,484.69626,172.8,789.69604,360.0,0.0,100.0,396.0
2022-03-18 15:00:00,4.978,148.0,45.06,404.0,99.0,65.7965,100.0,63.0082,262.7844,95.52,436.5264,199.0,25.454548,57.0,219.0
2022-03-18 16:00:00,2.83,0.0,0.506,183.0,26.0,8.891928,22.0,0.08224964,64.55677,23.039999,105.2928,48.0,56.9697,5.0,50.0
2022-03-18 17:00:00,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.717844,16.0,0.0
2022-03-18 18:00:00,-0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 19:00:00,-0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 20:00:00,-2.626,0.0,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 21:00:00,-2.165,0.0,0.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 22:00:00,-0.284,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
