period_end,172.0,D.156.DELTA,D.171.ISIRR,air_temp,clearsky_dhi,clearsky_dni,clearsky_ghi,clearsky_gti,cloud_opacity,dhi,dni,ghi,gti,precipitation_rate,relative_humidity
2024-06-01 00:15:00,16.338,0.0,0.605,19,0,0,0,0,30.2,0,0,0,0,0,82.9
2024-06-01 00:30:00,17.015,0.0,0.609,19,0,0,0,0,33.8,0,0,0,0,0,83.3
2024-06-01 00:45:00,16.936,0.0,0.607,18,0,0,0,0,53.4,0,0,0,0,0,83.7
2024-06-01 01:00:00,16.384,0.0,0.607,18,0,0,0,0,75.1,0,0,0,0,0,84.1
2024-06-01 01:15:00,16.143,0.0,0.605,18,0,0,0,0,17.7,0,0,0,0,0,84.3
2024-06-01 01:30:00,16.192,0.0,0.608,18,0,0,0,0,0,0,0,0,0,0,84.4
2024-06-01 01:45:00,16.523,0.0,0.606,18,0,0,0,0,7.2,0,0,0,0,0,84.6
2024-06-01 02:00:00,16.125,0.0,0.612,18,0,0,0,0,18.9,0,0,0,0,0,84.7
2024-06-01 02:15:00,16.636,0.0,1.12,18,0,0,0,0,17.4,0,0,0,0,0,84.7
2024-06-01 02:30:00,17.215,4.0,3.325,18,0,0,0,0,33.8,0,0,0,0,0,84.7
2024-06-01 02:45:00,17.952,12.0,7.115,17,4,2,4,3,33.2,2,0,2,2,0,84.7
2024-06-01 03:00:00,19.522,24.0,10.779,17,18,36,21,16,25.1,16,0,16,15,0,84.7
2024-06-01 03:15:00,20.585,40.0,13.299,17,32,123,44,28,16.4,36,1,36,35,0,84.2
2024-06-01 03:30:00,21.186,36.0,14.199,18,45,200,72,37,50.4,35,0,35,34,0,83.3
2024-06-01 03:45:00,21.435,52.0,17.793,18,58,271,106,54,41.5,63,0,63,60,0,82.4
2024-06-01 04:00:00,22.228,64.0,21.842,18,69,336,143,85,28.4,100,10,103,98,0,81.5
2024-06-01 04:15:00,22.672,72.0,23.278,18,79,395,184,122,47.8,95,0,95,92,0,79.7
2024-06-01 04:30:00,22.835,60.0,21.401,19,89,447,226,165,52.8,106,0,106,103,0,77.2
2024-06-01 04:45:00,23.232,72.0,25.184,20,97,493,270,211,43.6,152,0,152,147,0,74.7
2024-06-01 05:00:00,24.122,92.0,33.507,20,105,535,314,259,42.2,182,0,182,176,0,72.3
2024-06-01 05:15:00,27.834,212.0,68.096,21,111,571,359,310,0,111,571,359,310,0,70.5
2024-06-01 05:30:00,30.008,280.0,87.861,21,117,603,404,361,0,117,603,404,361,0,69.3
2024-06-01 05:45:00,31.13,340.0,104.592,22,123,630,448,413,0,123,630,448,413,0,68.1
2024-06-01 06:00:00,30.055,384.0,117.53,22,129,652,490,464,0,129,652,490,464,0,66.9
2024-06-01 06:15:00,28.966,428.0,130.471,23,134,671,532,515,0,134,671,532,515,0,65.6
2024-06-01 06:30:00,29.791,468.0,143.326,23,139,688,572,564,0,139,688,572,564,0,64.4
2024-06-01 06:45:00,30.402,332.0,155.672,24,143,705,611,612,0,143,705,611,612,0,63.2
2024-06-01 07:00:00,31.244,532.0,167.262,24,146,722,649,659,0,146,722,649,659,0,62
2024-06-01 07:15:00,31.673,556.0,178.424,25,148,736,685,703,0,148,736,685,703,0,60.2
2024-06-01 07:30:00,32.279,580.0,189.379,25,150,749,718,745,0,150,749,718,745,0,57.9
2024-06-01 07:45:00,32.563,604.0,199.261,26,152,761,750,784,0,152,761,750,784,0,55.7
2024-06-01 08:00:00,33.077,616.0,208.717,27,153,771,778,820,0,153,771,778,820,0,53.6
2024-06-01 08:15:00,33.79,628.0,216.351,27,154,780,804,853,0,154,780,804,853,0,51.8
2024-06-01 08:30:00,34.349,640.0,224.378,27,155,788,828,882,0,155,788,828,882,0,50.3
2024-06-01 08:45:00,34.963,644.0,229.14,28,151,801,849,910,0,151,801,849,910,0,48.8
2024-06-01 09:00:00,34.907,652.0,235.311,28,143,819,869,935,0,143,819,869,935,0,47.4
2024-06-01 09:15:00,34.931,664.0,241.781,29,135,836,887,957,0,135,836,887,957,0,46.1
2024-06-01 09:30:00,35.217,664.0,245.174,29,125,854,902,976,0,125,854,902,976,0,45
2024-06-01 09:45:00,35.503,672.0,248.328,29,120,864,912,989,0,120,864,912,989,0,44
2024-06-01 10:00:00,35.756,608.0,216.231,29,121,866,918,996,0,121,866,918,996,0,43
2024-06-01 10:15:00,35.021,424.0,143.874,30,121,867,920,999,1.6,145,825,906,981,0,41.8
2024-06-01 10:30:00,35.927,432.0,194.705,30,121,867,919,997,0,121,867,919,997,0,40.5
2024-06-01 10:45:00,36.485,680.0,255.015,30,121,867,915,992,0,121,867,915,992,0,39.3
2024-06-01 11:00:00,36.435,680.0,254.308,30,120,866,907,982,0,120,866,907,982,0,38.1
2024-06-01 11:15:00,36.97,692.0,260.855,31,120,863,896,968,4.5,185,746,856,919,0,37.2
2024-06-01 11:30:00,38.045,672.0,253.04,31,119,860,882,950,10.2,258,602,792,842,0,36.5
2024-06-01 11:45:00,37.391,656.0,241.757,31,118,857,865,928,0,118,857,865,928,0,35.8
2024-06-01 12:00:00,37.297,636.0,231.836,31,117,852,845,902,0,117,852,845,902,0,35.1
2024-06-01 12:15:00,37.481,616.0,220.346,31,116,846,822,873,0,116,846,822,873,0,34.4
2024-06-01 12:30:00,37.67,604.0,214.145,31,115,839,795,840,0,115,839,795,840,0,33.9
2024-06-01 12:45:00,37.317,576.0,202.553,31,113,831,767,803,0,113,831,767,803,0,33.4
2024-06-01 13:00:00,37.195,560.0,193.772,32,111,822,735,764,0,111,822,735,764,0,32.9
2024-06-01 13:15:00,37.478,532.0,181.159,32,110,812,702,722,0,110,812,702,722,0,32.6
2024-06-01 13:30:00,37.272,332.0,168.532,32,107,801,667,677,0,107,801,667,677,0,32.6
2024-06-01 13:45:00,37.366,480.0,156.5,32,105,789,629,631,0,105,789,629,631,0,32.6
2024-06-01 14:00:00,37.062,444.0,145.025,32,101,777,591,582,0,101,777,591,582,0,32.6
2024-06-01 14:15:00,37.06,416.0,130.87,32,98,763,550,532,0,98,763,550,532,0,32.6
2024-06-01 14:30:00,36.834,376.0,121.7,32,94,747,509,481,0,94,747,509,481,0,32.5
2024-06-01 14:45:00,37.008,324.0,102.429,32,91,727,466,428,0,91,727,466,428,0,32.4
2024-06-01 15:00:00,36.088,212.0,71.415,32,88,702,422,375,0,88,702,422,375,0,32.3
2024-06-01 15:15:00,36.906,228.0,75.559,32,85,673,377,322,0,85,673,377,322,0,32.4
2024-06-01 15:30:00,38.199,180.0,63.191,32,81,640,332,270,0,81,640,332,270,0,32.8
2024-06-01 15:45:00,38.499,128.0,50.472,32,76,602,287,219,6.4,103,474,269,212,0,33.2
2024-06-01 16:00:00,38.814,92.0,38.547,31,71,559,243,170,17.3,127,242,201,163,0,33.7
2024-06-01 16:15:00,38.658,56.0,27.5,31,65,509,200,124,18.9,113,186,162,129,0,34.8
2024-06-01 16:30:00,37.715,32.0,18.225,31,58,450,158,83,21.5,98,117,124,100,0,36.8
2024-06-01 16:45:00,35.824,16.0,12.294,30,50,384,119,48,21.2,79,84,94,75,0,38.9
2024-06-01 17:00:00,34.171,12.0,8.783,30,41,307,83,31,19.8,58,58,66,54,0,41.2
2024-06-01 17:15:00,31.121,4.0,4.781,29,30,213,51,24,14.5,38,56,43,35,0,43.3
2024-06-01 17:30:00,28.957,0.0,2.478,28,18,76,24,16,25,18,0,18,17,0,45.2
2024-06-01 17:45:00,27.632,0.0,1.024,28,4,7,5,4,18.4,4,0,4,4,0,47.1
2024-06-01 18:00:00,26.385,0.0,0.626,27,0,0,0,0,23.7,0,0,0,0,0,49.2
2024-06-01 18:15:00,25.787,0.0,0.628,27,0,0,0,0,37,0,0,0,0,0,51.1
2024-06-01 18:30:00,24.89,0.0,0.62,26,0,0,0,0,58.8,0,0,0,0,0,52.8
2024-06-01 18:45:00,24.505,0.0,0.619,26,0,0,0,0,73.1,0,0,0,0,0,54.6
2024-06-01 19:00:00,24.889,0.0,0.618,25,0,0,0,0,82.6,0,0,0,0,0,56.4
2024-06-01 19:15:00,24.135,0.0,0.618,25,0,0,0,0,78.3,0,0,0,0,0,58.1
2024-06-01 19:30:00,23.305,0.0,0.619,24,0,0,0,0,75.4,0,0,0,0,0,59.6
2024-06-01 19:45:00,23.25,0.0,0.618,24,0,0,0,0,74.4,0,0,0,0,0,61.2
2024-06-01 20:00:00,23.202,0.0,0.618,24,0,0,0,0,75,0,0,0,0,0,62.8
2024-06-01 20:15:00,23.237,0.0,0.619,23,0,0,0,0,75,0,0,0,0,0,64.1
2024-06-01 20:30:00,23.158,0.0,0.619,23,0,0,0,0,74.1,0,0,0,0,0,65.2
2024-06-01 20:45:00,23.577,0.0,0.616,23,0,0,0,0,70.5,0,0,0,0,0,66.3
2024-06-01 21:00:00,23.77,0.0,0.62,23,0,0,0,0,22.6,0,0,0,0,0,67.4
2024-06-01 21:15:00,24.05,0.0,0.618,22,0,0,0,0,57.6,0,0,0,0,0,68.2
2024-06-01 21:30:00,24.174,0.0,0.619,22,0,0,0,0,81,0,0,0,0,0,68.6
2024-06-01 21:45:00,23.93,0.0,0.621,22,0,0,0,0,78.8,0,0,0,0,0,69
2024-06-01 22:00:00,23.323,0.0,0.621,22,0,0,0,0,64.5,0,0,0,0,0,69.4
2024-06-01 22:15:00,22.626,0.0,0.622,22,0,0,0,0,82.7,0,0,0,0,0,70.2
2024-06-01 22:30:00,22.41,0.0,0.62,22,0,0,0,0,36.6,0,0,0,0,0,71.3
2024-06-01 22:45:00,22.22,0.0,0.619,21,0,0,0,0,36.9,0,0,0,0,0,72.4
2024-06-01 23:00:00,21.729,0.0,0.618,21,0,0,0,0,46.2,0,0,0,0,0,73.5
2024-06-01 23:15:00,21.306,0.0,0.619,21,0,0,0,0,58.5,0,0,0,0,0,74.4
2024-06-01 23:30:00,21.146,0.0,0.618,21,0,0,0,0,55.1,0,0,0,0,0,75.1
2024-06-01 23:45:00,20.657,0.0,0.619,21,0,0,0,0,45,0,0,0,0,0,75.8
2024-06-02 00:00:00,21.163,0.0,0.616,20,0,0,0,0,52.5,0,0,0,0,0,76.5
2024-06-02 00:15:00,20.936,0.0,0.616,20,0,0,0,0,26.3,0,0,0,0,0,77.2
2024-06-02 00:30:00,20.88,0.0,0.623,20,0,0,0,0,14.3,0,0,0,0,0,77.9
2024-06-02 00:45:00,20.44,0.0,0.618,20,0,0,0,0,12.3,0,0,0,0,0,78.6
2024-06-02 01:00:00,20.161,0.0,0.616,20,0,0,0,0,4.3,0,0,0,0,0,79.4
2024-06-02 01:15:00,20.131,0.0,0.615,20,0,0,0,0,0,0,0,0,0,0,80.2
2024-06-02 01:30:00,20.086,0.0,0.617,19,0,0,0,0,0,0,0,0,0,0,81
2024-06-02 01:45:00,20.022,0.0,0.613,19,0,0,0,0,0,0,0,0,0,0,81.9
2024-06-02 02:00:00,19.55,0.0,0.615,19,0,0,0,0,0,0,0,0,0,0,82.8
2024-06-02 02:15:00,19.725,0.0,0.857,19,0,0,0,0,4.6,0,0,0,0,0,83.2
2024-06-02 02:30:00,19.692,0.0,2.166,19,0,0,0,0,3.8,0,0,0,0,0,83.1
2024-06-02 02:45:00,20.57,4.0,4.974,19,4,1,4,4,14.3,3,0,3,3,0,82.9
2024-06-02 03:00:00,21.322,8.0,7.135,19,18,18,19,17,16.9,16,0,16,16,0,82.8
2024-06-02 03:15:00,21.571,16.0,9.118,19,33,71,40,30,12,33,17,35,32,0,82.3
2024-06-02 03:30:00,22.593,24.0,12.088,19,48,125,66,43,7.5,49,90,61,44,0,81.4
2024-06-02 03:45:00,23.559,28.0,14.926,19,63,182,96,60,0,63,182,96,60,0,80.5
2024-06-02 04:00:00,24.237,40.0,20.389,20,78,242,131,88,0,78,242,131,88,0,79.7
2024-06-02 04:15:00,25.135,68.0,29.99,20,91,298,170,121,0,91,298,170,121,0,77.7
2024-06-02 04:30:00,26.913,100.0,40.86,21,103,351,211,160,2.2,109,316,206,159,0,74.8
2024-06-02 04:45:00,30.832,144.0,51.823,21,113,401,254,204,1.5,118,376,251,203,0,72
2024-06-02 05:00:00,31.906,188.0,65.022,22,122,450,299,250,0,122,450,299,250,0,69.3
2024-06-02 05:15:00,31.958,240.0,78.529,23,129,495,345,300,0,129,495,345,300,0,66.6
2024-06-02 05:30:00,32.537,288.0,91.868,23,135,536,390,351,0,135,536,390,351,0,64.1
