,172,D.156.DELTA,D.171.ISIRR,SARAH Global tilted radiation GTI (W/m²),SARAH Global tilted radiation GTI (W/m²)
2022-03-18 07:00:00,3.226,440.0,675.62,0.0,
2022-03-18 08:00:00,4.607,3344.0,836.143,742.3439,737.36456
2022-03-18 09:00:00,5.69,3572.0,939.744,858.858,842.31366
2022-03-18 10:00:00,6.827,3452.0,972.46,906.36804,920.44135
2022-03-18 11:00:00,7.632,3040.0,792.876,876.8974,922.0691
2022-03-18 12:00:00,7.811,2232.0,594.932,717.97217,755.9281
2022-03-18 13:00:00,7.346,1480.0,426.254,537.6234,582.5103
2022-03-18 14:00:00,6.457,836.0,223.692,373.76508,444.14816
2022-03-18 15:00:00,4.978,148.0,45.06,156.80466,242.30324
2022-03-18 16:00:00,2.83,0.0,0.506,8.478628,59.00081
2022-03-18 17:00:00,0.47,0.0,0.0,0.0,0.0
2022-03-18 18:00:00,-0.085,0.0,0.0,0.0,0.0
2022-03-18 19:00:00,-0.654,0.0,0.0,0.0,0.0
2022-03-18 20:00:00,-2.626,0.0,0.398,0.0,0.0
2022-03-18 21:00:00,-2.165,0.0,0.948,0.0,0.0
2022-03-18 22:00:00,-0.284,0.0,0.006,0.0,0.0
2022-03-18 23:00:00,0.354,0.0,0.0,0.0,0.0
2022-03-19 00:00:00,0.342,0.0,0.0,0.0,0.0
2022-03-19 01:00:00,0.028,0.0,0.0,0.0,0.0
2022-03-19 02:00:00,-1.023,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,-2.503,0.0,0.0,0.0,0.0
2022-03-19 04:00:00,-3.249,44.0,24.701,0.0,0.0
2022-03-19 05:00:00,-1.194,476.0,148.949,84.4546,42.69373
2022-03-19 06:00:00,1.91,1456.0,416.758,307.6763,197.84926
2022-03-19 07:00:00,3.512,2060.0,538.542,539.282,454.7531
2022-03-19 08:00:00,3.929,1268.0,330.197,552.34924,455.47986
2022-03-19 09:00:00,4.669,1660.0,431.006,447.37936,356.11792
2022-03-19 10:00:00,5.455,2212.0,679.565,654.76184,589.60504
2022-03-19 11:00:00,6.228,2680.0,761.217,754.60364,740.60864
2022-03-19 12:00:00,7.584,3300.0,862.51,777.13055,849.9583
2022-03-19 13:00:00,7.942,2388.0,674.626,612.30115,705.091
2022-03-19 14:00:00,7.933,1476.0,394.782,398.6127,490.19904
2022-03-19 15:00:00,7.221,516.0,156.504,178.72758,275.7254
2022-03-19 16:00:00,5.224,8.0,4.104,9.537482,60.699654
2022-03-19 17:00:00,2.928,0.0,0.0,0.0,0.0
2022-03-19 18:00:00,1.437,0.0,0.0,0.0,0.0
2022-03-19 19:00:00,0.406,0.0,0.0,0.0,0.0
2022-03-19 20:00:00,0.45,0.0,0.0,0.0,0.0
2022-03-19 21:00:00,-0.007,0.0,0.0,0.0,0.0
2022-03-19 22:00:00,-0.307,0.0,0.0,0.0,0.0
2022-03-19 23:00:00,-1.102,0.0,0.0,0.0,0.0
2022-03-20 00:00:00,-2.041,0.0,0.0,0.0,0.0
2022-03-20 01:00:00,-2.686,0.0,0.0,0.0,0.0
2022-03-20 02:00:00,-2.564,0.0,0.0,0.0,0.0
2022-03-20 03:00:00,-3.191,0.0,0.025,0.0,0.0
2022-03-20 04:00:00,-2.704,32.0,22.431,0.0,0.0
2022-03-20 05:00:00,-0.287,528.0,172.997,89.68759,51.063942
2022-03-20 06:00:00,3.607,1404.0,376.874,314.10687,264.3404
2022-03-20 07:00:00,6.255,2176.0,616.4,533.518,442.27557
2022-03-20 08:00:00,8.564,2892.0,754.704,745.39874,694.97296
2022-03-20 09:00:00,9.292,3176.0,838.596,766.62994,709.5698
2022-03-20 10:00:00,10.931,3304.0,964.398,916.15424,929.6422
2022-03-20 11:00:00,11.358,3472.0,914.833,875.68414,916.59894
2022-03-20 12:00:00,11.542,2680.0,705.927,780.76697,853.59204
2022-03-20 13:00:00,11.794,2228.0,588.287,596.6032,672.67645
2022-03-20 14:00:00,11.931,1148.0,337.153,391.19513,464.85437
2022-03-20 15:00:00,10.555,284.0,71.044,139.10596,212.97333
2022-03-20 16:00:00,8.12,4.0,1.156,9.627611,53.190945
2022-03-20 17:00:00,5.407,0.0,0.0,0.0,0.0
2022-03-20 18:00:00,1.897,0.0,0.0,0.0,0.0
2022-03-20 19:00:00,-0.41,0.0,0.044,0.0,0.0
2022-03-20 20:00:00,-1.07,0.0,0.439,0.0,0.0
2022-03-20 21:00:00,-1.918,0.0,0.556,0.0,0.0
2022-03-20 22:00:00,-1.837,0.0,0.553,0.0,0.0
2022-03-20 23:00:00,-2.519,0.0,1.341,0.0,0.0
2022-03-21 00:00:00,-3.524,0.0,1.831,0.0,0.0
2022-03-21 01:00:00,-2.623,0.0,0.815,0.0,0.0
2022-03-21 02:00:00,-2.781,0.0,0.101,0.0,0.0
2022-03-21 03:00:00,-2.787,0.0,0.032,0.0,0.0
2022-03-21 04:00:00,-2.437,40.0,25.326,0.0,0.0
2022-03-21 05:00:00,0.943,588.0,191.33,94.97798,54.137016
2022-03-21 06:00:00,4.533,1636.0,435.967,320.50836,280.9004
2022-03-21 07:00:00,7.457,2392.0,658.483,552.327,509.47382
2022-03-21 08:00:00,9.904,3224.0,843.209,761.11273,716.1263
2022-03-21 09:00:00,12.145,3504.0,955.301,874.0731,856.51215
2022-03-21 10:00:00,13.011,2896.0,900.113,855.71185,839.60925
2022-03-21 11:00:00,14.618,3624.0,988.392,880.43805,921.4919
2022-03-21 12:00:00,15.104,3144.0,832.031,784.38776,857.04443
2022-03-21 13:00:00,16.052,2380.0,691.566,618.5514,711.4839
2022-03-21 14:00:00,15.468,844.0,196.284,341.93253,398.05035
2022-03-21 15:00:00,14.36,180.0,45.078,138.97566,210.12006
2022-03-21 16:00:00,12.403,4.0,0.649,10.06321,51.03675
2022-03-21 17:00:00,11.003,0.0,0.0,0.0,0.0
2022-03-21 18:00:00,11.414,0.0,0.0,0.0,0.0
2022-03-21 19:00:00,11.23,0.0,0.0,0.0,0.0
2022-03-21 20:00:00,10.794,0.0,0.0,0.0,0.0
2022-03-21 21:00:00,9.971,0.0,0.0,0.0,0.0
2022-03-21 22:00:00,8.53,0.0,0.0,0.0,0.0
2022-03-21 23:00:00,7.059,0.0,0.0,0.0,0.0
2022-03-22 00:00:00,6.361,0.0,0.0,0.0,0.0
2022-03-22 01:00:00,6.001,0.0,0.0,0.0,0.0
