,temperature,SARAH Global tilted radiation GTI (W/m²),SARAH Global tilted radiation GTI (W/m²),NEMS4 Temperature (°C),NEMS4 Direct Shortwave Radiation (W/m²),NEMS4 Direct Shortwave Radiation (W/m²),NEMS4 Relative Humidity (%),SARAH Clearsky Shortwave (W/m²),METEOSAT Clearsky Shortwave (W/m²),UV Biologically Active UV Radiation (W/m²)
2025-06-16 00:00:00,15.9,0.0,0.0,17.901834,0.0,0.0,55.0,0.0,,0.0
2025-06-16 01:00:00,14.44,0.0,0.0,17.191833,0.0,0.0,61.0,0.0,,0.0
2025-06-16 02:00:00,13.28,0.0,0.0,16.471834,0.0,0.0,67.0,0.0,,0.0
2025-06-16 03:00:00,12.4,11.014312,6.623175,16.151834,10.526781,5.3521547,72.0,17.0,,0.002
2025-06-16 04:00:00,14.63,123.1536,62.541462,18.171833,60.941315,44.01111,68.0,135.0,,0.01
2025-06-16 05:00:00,17.87,311.09024,214.35408,21.571835,131.91046,144.6904,54.0,302.0,,0.028
2025-06-16 06:00:00,21.47,533.0479,428.04922,23.741835,251.99445,258.2345,48.0,478.0,,0.06
2025-06-16 07:00:00,24.0,737.46405,647.63403,25.251833,375.25574,371.04236,43.0,644.0,,0.1
2025-06-16 08:00:00,25.23,886.96295,821.23083,26.481834,479.31693,472.0613,38.0,783.0,,0.14
2025-06-16 09:00:00,26.13,987.0644,945.9604,27.551834,558.4481,552.8263,35.0,884.0,,0.17
2025-06-16 10:00:00,26.73,1022.9223,1014.4921,28.611834,600.84247,598.5294,31.0,937.0,,0.182
2025-06-16 11:00:00,27.5,995.5293,1017.45135,29.391834,601.72504,604.20917,29.0,938.0,,0.174
2025-06-16 12:00:00,28.03,903.63684,953.45654,29.991835,563.0422,570.7486,29.0,886.0,,0.146
2025-06-16 13:00:00,28.7,758.3807,831.5261,30.181833,491.02484,503.03485,27.0,787.0,,0.108
2025-06-16 14:00:00,28.8,566.8738,656.7699,30.161833,396.6096,410.1667,27.0,648.0,,0.068
2025-06-16 15:00:00,28.83,368.3824,466.95477,29.961834,285.9121,299.28302,28.0,484.0,,0.032
2025-06-16 16:00:00,28.23,163.37717,264.4093,29.421833,173.8297,184.02547,29.0,308.0,,0.01
2025-06-16 17:00:00,27.23,32.449368,87.78976,27.781834,53.36265,76.09183,37.0,142.0,,0.0
2025-06-16 18:00:00,25.37,0.0,12.319095,25.831833,0.0,13.37748,40.0,25.0,,0.0
2025-06-16 19:00:00,23.4,0.0,0.0,24.801834,0.0,0.0,43.0,0.0,,0.0
2025-06-16 20:00:00,21.83,0.0,0.0,23.831833,0.0,0.0,45.0,0.0,,0.0
2025-06-16 21:00:00,20.7,0.0,0.0,22.831833,0.0,0.0,48.0,0.0,,0.0
2025-06-16 22:00:00,19.5,0.0,0.0,21.911833,0.0,0.0,51.0,0.0,,0.0
2025-06-16 23:00:00,18.27,0.0,0.0,20.261833,0.0,0.0,56.0,0.0,,0.0
2025-06-17 00:00:00,16.7,0.0,0.0,18.601833,0.0,0.0,64.0,0.0,,0.0
2025-06-17 01:00:00,15.87,0.0,0.0,18.701834,0.0,0.0,62.0,0.0,,0.0
2025-06-17 02:00:00,14.87,0.0,0.0,18.231834,0.0,0.0,63.0,0.0,,0.0
2025-06-17 03:00:00,15.37,6.843992,4.7275243,17.891834,10.482803,5.514978,67.0,17.0,,0.002
2025-06-17 04:00:00,16.53,145.68954,65.13593,20.071835,60.830307,44.440285,62.0,135.0,,0.01
2025-06-17 05:00:00,19.6,335.65088,226.44423,22.911833,129.93994,144.79901,56.0,301.0,,0.032
