time,gti_backwards,pvpower_instant,moduletemperature_instant,iam_instant,snowcover,iam_backwards,gti_instant,pvpower_backwards,performanceratio,moduletemperature_backwards
2025-06-16 00:00,0.0,0.0,16.52,0.0,0.0,0.0,0.0,0.0,0.43,16.52
2025-06-16 01:00,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.43,16.5
2025-06-16 02:00,0.0,0.0,14.37,0.0,0.0,0.0,0.0,0.0,0.43,15.19
2025-06-16 03:00,0.84,0.01,14.34,0.0,0.0,0.0,3.71,0.0,0.43,14.49
2025-06-16 04:00,25.48,0.19,20.61,0.28,0.0,0.04,75.65,0.06,0.43,16.06
2025-06-16 05:00,171.42,0.89,27.67,0.77,0.0,0.58,273.48,0.49,0.54,23.21
2025-06-16 06:00,390.17,1.89,35.35,0.9,0.0,0.85,506.96,1.4,0.63,30.58
2025-06-16 07:00,618.03,2.77,41.24,0.94,0.0,0.92,722.26,2.35,0.64,37.91
2025-06-16 08:00,807.27,3.37,45.9,0.95,0.0,0.94,880.9,3.1,0.64,43.08
2025-06-16 09:00,939.71,3.76,49.13,0.95,0.0,0.95,986.32,3.6,0.64,47.15
2025-06-16 10:00,1012.23,3.9,50.05,0.95,0.0,0.95,1025.83,3.85,0.64,49.65
2025-06-16 11:00,1016.01,3.78,49.97,0.95,0.0,0.95,995.08,3.87,0.64,49.83
2025-06-16 12:00,950.21,3.41,48.49,0.95,0.0,0.95,896.79,3.62,0.64,49.01
2025-06-16 13:00,822.88,2.82,46.54,0.94,0.0,0.95,743.77,3.14,0.64,46.89
2025-06-16 14:00,643.35,2.03,42.58,0.92,0.0,0.93,543.89,2.43,0.63,44.31
2025-06-16 15:00,441.88,1.17,38.06,0.84,0.0,0.89,341.92,1.6,0.57,40.24
2025-06-16 16:00,238.78,0.37,32.78,0.54,0.0,0.72,143.22,0.73,0.43,35.53
2025-06-16 17:00,65.45,0.06,29.44,0.0,0.0,0.18,22.21,0.17,0.43,30.44
2025-06-16 18:00,8.36,0.0,26.16,0.0,0.0,0.0,0.0,0.02,0.43,28.18
2025-06-16 19:00,0.0,0.0,24.16,0.0,0.0,0.0,0.0,0.0,0.43,26.13
2025-06-16 20:00,0.0,0.0,22.63,0.0,0.0,0.0,0.0,0.0,0.43,24.13
