time,dif_backwards,gni_backwards,dni_instant,dni_backwards,directshortwaveradiation_backwards,clearskyshortwave_instant,gni_instant,ghi_backwards,dif_instant,ghi_instant,clearskyshortwave_backwards,directshortwaveradiation_instant,extraterrestrialradiation_instant,extraterrestrialradiation_backwards
2025-06-16 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-16 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-16 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-16 03:00,0.86,48.0,212.08,43.94,3.83,31.31,230.25,4.68,3.79,22.27,6.68,18.48,107.85,28.35
2025-06-16 04:00,29.22,392.6,374.52,311.69,53.13,168.45,506.67,82.35,65.39,158.6,95.98,93.21,329.56,219.69
2025-06-16 05:00,103.81,609.58,486.22,431.67,146.29,344.69,706.31,250.09,141.27,344.69,254.36,203.42,553.98,444.06
2025-06-16 06:00,176.18,794.68,587.35,538.88,271.3,548.56,875.17,447.48,208.86,548.56,447.48,339.7,765.84,663.35
2025-06-16 07:00,234.61,929.79,650.0,620.44,404.91,723.91,976.67,639.52,257.23,723.91,639.52,466.68,950.7,862.62
2025-06-16 08:00,271.64,999.42,677.95,665.5,517.07,844.26,1015.81,788.71,283.13,844.26,788.71,561.13,1095.96,1028.29
2025-06-16 09:00,291.29,1025.4,694.79,687.7,596.89,922.57,1030.94,888.19,297.25,922.57,888.19,625.32,1191.73,1149.09
2025-06-16 10:00,299.97,1031.31,698.2,697.68,641.13,950.38,1029.65,941.1,301.01,950.38,941.1,649.36,1231.5,1216.79
2025-06-16 11:00,299.01,1024.65,688.0,694.14,643.12,925.61,1018.23,942.13,295.58,925.61,942.13,630.03,1212.55,1226.77
2025-06-16 12:00,288.57,1006.45,663.34,676.54,602.2,849.33,992.3,890.76,280.13,849.33,890.76,569.19,1136.18,1178.36
2025-06-16 13:00,267.59,970.06,625.47,645.14,524.01,729.45,944.22,791.6,253.49,729.45,791.6,475.96,1007.6,1074.85
2025-06-16 14:00,232.94,898.17,566.69,596.59,416.65,568.67,851.35,649.6,211.06,568.67,649.6,357.61,835.56,923.32
2025-06-16 15:00,186.43,800.52,506.07,537.35,298.69,401.89,744.95,485.11,160.42,401.89,485.11,241.47,631.79,734.07
2025-06-16 16:00,128.36,668.85,418.62,463.4,183.21,227.69,588.8,311.56,95.92,225.6,312.28,129.68,410.18,520.01
2025-06-16 17:00,60.34,485.22,278.5,354.26,81.09,73.17,376.94,141.43,29.45,68.53,146.23,39.09,185.82,295.72
2025-06-16 18:00,11.09,174.75,0.0,126.16,13.08,0.0,0.0,24.17,0.0,0.0,24.67,0.0,0.0,78.38
2025-06-16 19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
