,172,D.156.DELTA,D.171.ISIRR
2022-03-18 07:00:00,3.226,440.0,675.62
2022-03-18 08:00:00,4.607,3344.0,836.143
2022-03-18 09:00:00,5.69,3572.0,939.744
2022-03-18 10:00:00,6.827,3452.0,972.46
2022-03-18 11:00:00,7.632,3040.0,792.876
2022-03-18 12:00:00,7.811,2232.0,594.932
2022-03-18 13:00:00,7.346,1480.0,426.254
2022-03-18 14:00:00,6.457,836.0,223.692
2022-03-18 15:00:00,4.978,148.0,45.06
2022-03-18 16:00:00,2.83,0.0,0.506
2022-03-18 17:00:00,0.47,0.0,0.0
2022-03-18 18:00:00,-0.085,0.0,0.0
2022-03-18 19:00:00,-0.654,0.0,0.0
2022-03-18 20:00:00,-2.626,0.0,0.398
2022-03-18 21:00:00,-2.165,0.0,0.948
2022-03-18 22:00:00,-0.284,0.0,0.006
2022-03-18 23:00:00,0.354,0.0,0.0
2022-03-19 00:00:00,0.342,0.0,0.0
2022-03-19 01:00:00,0.028,0.0,0.0
2022-03-19 02:00:00,-1.023,0.0,0.0
2022-03-19 03:00:00,-2.503,0.0,0.0
2022-03-19 04:00:00,-3.249,44.0,24.701
2022-03-19 05:00:00,-1.194,476.0,148.949
2022-03-19 06:00:00,1.91,1456.0,416.758
2022-03-19 07:00:00,3.512,2060.0,538.542
2022-03-19 08:00:00,3.929,1268.0,330.197
2022-03-19 09:00:00,4.669,1660.0,431.006
2022-03-19 10:00:00,5.455,2212.0,679.565
2022-03-19 11:00:00,6.228,2680.0,761.217
2022-03-19 12:00:00,7.584,3300.0,862.51
2022-03-19 13:00:00,7.942,2388.0,674.626
2022-03-19 14:00:00,7.933,1476.0,394.782
2022-03-19 15:00:00,7.221,516.0,156.504
2022-03-19 16:00:00,5.224,8.0,4.104
2022-03-19 17:00:00,2.928,0.0,0.0
2022-03-19 18:00:00,1.437,0.0,0.0
2022-03-19 19:00:00,0.406,0.0,0.0
2022-03-19 20:00:00,0.45,0.0,0.0
2022-03-19 21:00:00,-0.007,0.0,0.0
2022-03-19 22:00:00,-0.307,0.0,0.0
2022-03-19 23:00:00,-1.102,0.0,0.0
2022-03-20 00:00:00,-2.041,0.0,0.0
2022-03-20 01:00:00,-2.686,0.0,0.0
2022-03-20 02:00:00,-2.564,0.0,0.0
2022-03-20 03:00:00,-3.191,0.0,0.025
2022-03-20 04:00:00,-2.704,32.0,22.431
2022-03-20 05:00:00,-0.287,528.0,172.997
2022-03-20 06:00:00,3.607,1404.0,376.874
2022-03-20 07:00:00,6.255,2176.0,616.4
2022-03-20 08:00:00,8.564,2892.0,754.704
2022-03-20 09:00:00,9.292,3176.0,838.596
2022-03-20 10:00:00,10.931,3304.0,964.398
2022-03-20 11:00:00,11.358,3472.0,914.833
2022-03-20 12:00:00,11.542,2680.0,705.927
2022-03-20 13:00:00,11.794,2228.0,588.287
2022-03-20 14:00:00,11.931,1148.0,337.153
2022-03-20 15:00:00,10.555,284.0,71.044
2022-03-20 16:00:00,8.12,4.0,1.156
2022-03-20 17:00:00,5.407,0.0,0.0
2022-03-20 18:00:00,1.897,0.0,0.0
2022-03-20 19:00:00,-0.41,0.0,0.044
2022-03-20 20:00:00,-1.07,0.0,0.439
2022-03-20 21:00:00,-1.918,0.0,0.556
2022-03-20 22:00:00,-1.837,0.0,0.553
2022-03-20 23:00:00,-2.519,0.0,1.341
2022-03-21 00:00:00,-3.524,0.0,1.831
2022-03-21 01:00:00,-2.623,0.0,0.815
2022-03-21 02:00:00,-2.781,0.0,0.101
2022-03-21 03:00:00,-2.787,0.0,0.032
