,172,D.156.DELTA,D.171.ISIRR,NEMS4 Temperature (°C),SARAH Global tilted radiation GTI (W/m²)_x,SARAH Global tilted radiation GTI (W/m²)_y
2022-03-18 07:00:00,3.226,440.0,675.62,1.11,,
2022-03-18 08:00:00,4.607,3344.0,836.143,2.41,737.36456,737.36456
2022-03-18 09:00:00,5.69,3572.0,939.744,2.98,842.31366,842.31366
2022-03-18 10:00:00,6.827,3452.0,972.46,3.51,920.44135,920.44135
2022-03-18 11:00:00,7.632,3040.0,792.876,3.07,922.0691,922.0691
2022-03-18 12:00:00,7.811,2232.0,594.932,3.97,755.9281,755.9281
2022-03-18 13:00:00,7.346,1480.0,426.254,4.25,582.5103,582.5103
2022-03-18 14:00:00,6.457,836.0,223.692,3.8,444.14816,444.14816
2022-03-18 15:00:00,4.978,148.0,45.06,3.13,242.30324,242.30324
2022-03-18 16:00:00,2.83,0.0,0.506,1.7,59.00081,59.00081
2022-03-18 17:00:00,0.47,0.0,0.0,0.08,0.0,0.0
2022-03-18 18:00:00,-0.085,0.0,0.0,-1.21,0.0,0.0
2022-03-18 19:00:00,-0.654,0.0,0.0,-2.52,0.0,0.0
2022-03-18 20:00:00,-2.626,0.0,0.398,-2.95,0.0,0.0
2022-03-18 21:00:00,-2.165,0.0,0.948,-2.92,0.0,0.0
2022-03-18 22:00:00,-0.284,0.0,0.006,-3.57,0.0,0.0
2022-03-18 23:00:00,0.354,0.0,0.0,-4.29,0.0,0.0
2022-03-19 00:00:00,0.342,0.0,0.0,-4.94,0.0,0.0
2022-03-19 01:00:00,0.028,0.0,0.0,-5.39,0.0,0.0
2022-03-19 02:00:00,-1.023,0.0,0.0,-5.7,0.0,0.0
2022-03-19 03:00:00,-2.503,0.0,0.0,-5.95,0.0,0.0
2022-03-19 04:00:00,-3.249,44.0,24.701,-6.13,0.0,0.0
2022-03-19 05:00:00,-1.194,476.0,148.949,-4.69,42.69373,42.69373
2022-03-19 06:00:00,1.91,1456.0,416.758,-1.67,197.84926,197.84926
2022-03-19 07:00:00,3.512,2060.0,538.542,0.31,454.7531,454.7531
2022-03-19 08:00:00,3.929,1268.0,330.197,0.65,455.47986,455.47986
2022-03-19 09:00:00,4.669,1660.0,431.006,1.15,356.11792,356.11792
2022-03-19 10:00:00,5.455,2212.0,679.565,2.76,589.60504,589.60504
2022-03-19 11:00:00,6.228,2680.0,761.217,2.94,740.60864,740.60864
2022-03-19 12:00:00,7.584,3300.0,862.51,3.83,849.9583,849.9583
2022-03-19 13:00:00,7.942,2388.0,674.626,4.29,705.091,705.091
2022-03-19 14:00:00,7.933,1476.0,394.782,4.47,490.19904,490.19904
2022-03-19 15:00:00,7.221,516.0,156.504,4.19,275.7254,275.7254
