time,clearskyshortwave_backwards,clearskyshortwave_instant,convective_precipitation,dif_backwards,dif_instant,directshortwaveradiation_backwards,directshortwaveradiation_instant,dni_backwards,dni_instant,extraterrestrialradiation_backwards,extraterrestrialradiation_instant,felttemperature,fog_probability,ghi_backwards,ghi_instant,gni_backwards,gni_instant,highclouds,isdaylight,lowclouds,midclouds,pictocode,precipitation,precipitation_probability,rainspot,relativehumidity,sealevelpressure,snowfraction,sunshinetime,temperature,totalcloudcover,uvindex,visibility,winddirection,windspeed
2025-06-11 00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.48,0,0.00,0.00,0.00,0.00,0,0,24,24,4,0.00,0,0000000000000000000000000000000000000000000000000,80,1018.03,0.00,0,16.30,24,0,20060,186,1.06
2025-06-11 01:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.01,0,0.00,0.00,0.00,0.00,0,0,94,79,22,0.00,0,0000000000000000000000000000000000000000000000000,97,1017.78,0.00,0,13.10,94,0,19300,199,1.32
2025-06-11 02:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.90,0,0.00,0.00,0.00,0.00,0,1,69,66,7,0.00,0,0000000000000000000000000000000000000000000000000,84,1017.53,0.00,0,15.10,69,0,18350,192,1.38
2025-06-11 03:00,6.57,31.06,0.00,1.60,7.51,2.05,9.98,23.50,114.52,27.94,107.29,15.88,0,3.65,17.49,33.07,158.85,0,1,73,64,7,0.00,0,0000000000000000000000000000000000000000000000000,83,1017.28,0.00,9,15.63,73,0,17580,184,0.88
2025-06-11 04:00,95.94,168.61,0.00,26.47,39.89,8.63,1.64,63.37,6.59,219.58,329.85,16.40,0,35.09,41.53,105.85,31.52,0,1,94,75,22,0.00,0,0000000000000000000000000000000000000000000000000,86,1017.15,0.00,0,15.80,94,0,17810,166,0.68
2025-06-11 05:00,253.69,337.81,0.00,72.84,86.64,39.87,115.14,107.13,275.05,444.66,554.85,18.29,0,112.71,201.79,193.52,418.63,0,1,94,78,22,0.00,0,0000000000000000000000000000000000000000000000000,84,1017.02,0.00,0,17.33,94,0,20220,193,0.81
2025-06-11 06:00,424.47,506.72,0.00,98.84,106.15,174.65,240.40,344.67,415.42,664.38,766.97,20.01,0,273.49,346.54,503.09,590.13,0,1,94,88,22,0.00,0,0000000000000000000000000000000000000000000000000,69,1016.89,0.00,0,19.47,94,1,23220,189,0.95
2025-06-11 07:00,585.51,657.75,0.00,138.17,169.69,249.99,254.00,384.69,353.69,863.75,951.78,21.97,0,388.15,423.68,581.28,575.95,10,1,94,71,22,0.00,0,0000000000000000000000000000000000000000000000009,57,1016.59,0.00,0,21.57,94,2,24620,196,0.66
2025-06-11 08:00,721.76,777.81,0.00,184.45,196.48,289.48,323.08,372.35,390.45,1029.21,1096.67,23.49,0,473.93,519.56,604.21,628.81,24,1,55,55,8,0.00,0,0000000000000000000000000000000000000000090000009,52,1016.30,0.00,25,22.93,55,4,29020,181,0.30
2025-06-11 09:00,821.84,857.30,0.00,178.65,241.42,489.19,571.28,562.49,635.30,1149.49,1191.78,25.42,0,667.84,812.71,781.92,915.50,31,1,94,45,22,0.00,0,0000000000009000000090000009000000000000000000000,45,1016.00,0.00,0,24.63,94,5,34410,170,1.64
